id;name
221;DAWSON GEOPHYSICAL
222;DECKERS OUTDOOR
223;DENNY S
224;DENTSPLY INT
225;DESWELL INDUSTRIES
226;DEXCOM
227;DIAMOND HILL INVESTMT GP CL A
228;DIGI INTERNATIONAL
229;DIODES INC.
230;DIXIE GROUP
231;DLH HOLDINGS
232;DOLLAR TREE
233;DONEGAL GROUP A
234;DONEGAL GROUP INC
235;DORCHESTER MINERALS
236;DORMAN PRODUCTS
237;DRDGOLD ADR
238;DXP ENTERPRISES
239;DYNAMIC MATERIALS
240;DYNAVAX TECHNOLOGIES
241;EAGLE BANCORP
242;EAST-WEST BANCORP
243;EBAY
244;ECHOSTAR
245;EDAP TMS SA ADR
246;EDUCAT DEV CORP
247;EHEALTH
248;ELBIT SYSTEMS
249;ELEC. ARTS
250;ELECTRO SENSORS
251;ELTEK
252;ENCORE CAPITAL GROUP
253;ENSIGN GROUP
254;ENSTAR GROUP
255;ENTERPRISE BANCORP
256;ENTERPRISE FINL SVC
257;EQUINIX
258;ERIE INDEMNITY-A
259;ESCALADE
260;ESSA BANCORP
261;EURO TECH HLDGS
262;EURONET WORLDWIDE
263;EXACT SCIENCES
264;EXELIXIS
265;EXLSERVICE HOLDINGS
266;EXPEDIA INC
267;EXPONENT
268;EXTREME NETWORKS INC
269;EZCORP -A- NVTG
270;FACEBOOK CLASS A
271;FANHUA INC
272;FARMER BROTHERS CO
273;FARO TECHNOLOGIES
274;FASTENAL CO.
275;FIFTH THIRD
276;FINANCIAL INSTITUTIONS INC
277;FIRST BANCORP
278;FIRST BANCORP
279;FIRST BUSEY
280;FIRST CAPITAL
281;FIRST CITIZENS BC NRTH CAROL A
282;FIRST COMMUNITY
283;FIRST COMMUNITY BANKSHARES
284;FIRST DEFIANCE FINANCIAL
285;FIRST FINANCIAL NORTHWEST
286;FIRST FINL BANCORP
287;FIRST FINL BANKSHS
288;FIRST MERCHANTS
289;FIRST SOLAR
290;FIRST UNITED
291;FIRST US BANCSHARES
292;FLEXSTEEL IND INC
293;FLEXTRONICS
294;FLUSHING FINL
295;FONAR
296;FORMFACTOR
297;FORMULA SYST ADR
298;FORRESTER RESEARCH
299;FORWARD AIR
300;FOSSIL
301;FRANKLIN ELECTRIC CO
302;FREIGHTCAR AMERICA
303;FREQUENCY ELECTRONICS
304;FRP HOLDINGS
305;FRST OF LONG ISLAND
306;FUEL TECH
307;FUELCELL ENERGY
308;FULTON FINANCIAL
309;F5 NETWORKS INC
310;GAIA CLASS A
311;GENTEX CORP
312;GENTHERM
313;GEOSPACE TECHNOLOGIES
314;GERMAN AMERICAN BANCORP
315;GERON
316;GIBRALTAR INDUSTRIES
317;GIGAMEDIA
318;G-III APPAREL GROUP
319;GILAT SATELLITE NETWORKS LTD
320;GILEAD SCIEN
321;GLADSTONE COMMERCIAL
322;GLEN BURNIE BANCORP
323;GOLAR LNG
324;GOLDEN ENTERTAINMENT
325;GOOD TIMES RESTAUT
326;GOOGLE
327;GRAVITY CO ADR
328;GREAT LAKES DREDGE & DOCK
329;GREAT SOUTHERN BANC
330;GREEN PLAINS
331;GREENE COUNTY BANCORP
332;GREENLIGHT CAPITAL RE CLASS A
333;GRUPO AEROPORTUARIO DEL CENTRO
334;GRUPO FINANCIERO GALICIA ADR
335;GSI TECHNOLOGY
336;GULF ISLAND
337;G.WILLI-FOOD INTERNATIONAL
338;HACKETT GROUP
339;HAIN CELESTIAL GRP
340;HALOZYME THERAPEUTICS
341;HANCOCK WHITNEY
342;HANMI FINANCIAL
343;HARBOR DIVERSIFIED
344;HARMONIC
345;HARVARD BIOSCIENCE
346;HAWAIIAN HOLDINGS
347;HAWKINS
348;HAWTHORN BANCSHARES
349;HAYNES INTERNATIONAL
350;H&E EQUIPMENT SERVICES
351;HEALTHCARE SVCS GR
352;HEALTHSTREAM
353;HEARTLAND EXPRESS
354;HEARTLAND FINANCIAL USA
355;HEIDRICK & STRUGGLES INTL
356;HELEN OF TROY
357;HENRY SCHEIN
358;HERITAGE COMMERCE
359;HERITAGE FINANCIAL
360;HERON THERAPEUTICS
361;HIGHWAY HOLDINGS
362;HIMAX TECHNOLOGIES ADS
363;HINGHAM INSTITUTION
364;HMN FINANCIAL
365;HOLOGIC
366;HOOKER FURNITURE
367;HOPE BANCORP
368;HORIZON BANCORP INC.
369;HOUSTON AM ENERGY
370;HUB GROUP-A
371;HUDSON GLOBAL
372;HUDSON TECHNOLOGY
373;HUNTINGTON B
374;HURCO COS INC
375;HURON CONSULTING GROUP
376;ICAD
377;ICF INTERNATIONAL
378;ICU MEDICAL
379;IDENTIV
380;IDEXX LABS
381;ILLUMINA
382;IMAX
383;IMMERSION CORP
384;IMMUCELL
385;INCYTE
386;INDEPENDENT BANK
387;INDEPENDENT BANK
388;INFINERA
389;INFORMATION SERVICES GROUP
390;INFOSYS ADR 1 SH
391;INGLES MRKT CL-A-
392;INNODATA
393;INNOSPEC
394;INNOVATIVE SOL&SUPP
395;INNOVIVA
396;INSIGHT ENTERPRISES
397;INSIGNIA SYSTEMS
398;INSMED
399;INSULET
400;INTEGRA LIFE SCIENCES HOLDINGS
401;INTEL
402;INTERACTIVE BROKERS GROUP CL A
403;INTERDIGITAL
404;INTERGROUP
405;INTEST
406;INTEVAC
407;INTL BANCSHARES
408;INTL FCSTONE
409;INTUIT
410;INTUITIVE SURGICAL
411;INVESTORS TITLE CO
412;IONIS PHARMACEUTICALS
413;IPG PHOTONICS
414;IRIDEX CORPORATION
415;IROBOT
416;ITRON
417;ITURAN LOCATION & CONTROL
418;JACK HENRY & ASSOCIATES
419;JAKKS PAC
420;J.B HUNT TRANSPORT SERVICES
421;JDS UNIPHASE
422;JETBLUE AIRWAYS
423;JEWETT CAMERON TRADING
424;J&J SNACK FOODS
425;JOHN B SAN FILIPPO
426;JOHNSON OUTDOORS-A
427;JUNIPER NETWORKS
428;J.W.MAYS INC.
429;J2 GLOBAL
430;KAISER ALUMINUM
431;KEARNY FINANCIAL (NEW)
432;KELLY SERVICES -A-
433;KELLY SVCS CONV-B-
434;KENTUCKY FIRST FEDERAL BANCORP
435;KEWAUNEE SCIENTIFIC
436;KEY TRONIC
437;KINGSTONE COMPANIES
438;KIRKLANDS
439;KLA-TENCOR
440;KOPIN
441;KOSS
442;KRATOS DEFENS&SECURITY SOLUT
443;KULICKE & SOFFA INDUSTRIES INC
444;KVH INDUSTRIES
445;LAKE SHORE BANCORP
446;LAKELAND FINANCIAL
447;LAKELAND IND INC
448;LAM RESEARCH
449;LAMAR ADVERT
450;LANCASTER COLONY
451;LANDEC
452;LANDMARK BANCORP
453;LANDSTAR SYSTEMS
454;LANTRONIX
455;LATTICE SEMICONDUCTOR CORP
456;LAWSON PRODUCTS
457;LB FOSTER
458;LEMAITRE VASCULAR
459;LEXICON PHARMACEUTICALS
460;LIBERTY MEDIA HLDG INTER SR A
461;LIFETIME BRANDS
462;LIFEWAY FOODS
463;LIGAND PHARMACLTS-B
464;LIGHTPATH TECH-A
465;LINCOLN EDUCATIONAL SERVICES
466;LINCOLN ELEC HLDGS
467;LIQUIDITY SERVICES
468;LITTELFUSE
469;LIVE VENTURES
470;LIVEPERSON
471;LKQ
472;LM ERICSSON
473;LOGITECH INTERNATIONAL NAMEN
474;LRAD
475;LSI INDUSTRIES
476;LULULEMON ATHLETICA
477;LUNA INNOVATIONS
478;MACATAWA BANK
479;MACE SECURITY INTL
480;MADRIGAL PHARMACEUTICALS
481;MAGIC SOFTWARE ENTR
482;MAIDEN HOLDINGS
483;MANHATTAN ASSOC
484;MANHATTAN BRIDGE CAPITAL
485;MANITEX INTERNATIONAL
486;MANNATECH
487;MANNKIND
488;MARCHEX
489;MARINE PETROLEUM TRUST SBI
490;MARKETAXESS HOLDINGS
491;MARTEN TRANSPORT
492;MARTIN MIDSTREAM PARTNERS
493;MASIMO
494;MATEON THERAPEUTICS
495;MATRIX SERVICE
496;MATSON
497;MATTHEWS INTL -A-
498;MC GRATH RENT
499;MEDALLION FINANCIAL
500;MEDICINOVA
501;MELCO CROWN ENTERTAIN ADR 3 SH
502;MERCADOLIBRE
503;MERCANTILE BANK
504;MERCER INTERNATIONAL SBI
505;MERCURY SYSTEMS
506;MERIT MED SYS
507;MESA LABORATORIES
508;META FINANCIAL GROUP
509;METHANEX
510;MGE ENERGY
511;MGP INGREDIENTS
512;MICROBOT MEDICAL
513;MICROCHIP
514;MICROSOFT
515;MICROSTRATEGY INC CLASS A
516;MICROVISION
517;MIDDLEBY CORP
518;MIDDLESEX WATER
519;MIDWESTONE FINANCIAL GROUP
520;MIND CTI
521;MKS INSTRUMENTS INC
522;MONARCH CASINO&RSRT
523;MONOLITHIC POWER SYSTEMS
524;MONRO INC
525;MORNINGSTAR
526;MOTORCAR PARTS AMER
527;MYRIAD GENETICS
528;NAPCO SECURITY TECHNOLOGIES
529;NASDAQ OMX GROUP
530;NAT ALTERN INTL
531;NAT HLTH TRND
532;NATHANS FAMOUS
533;NATIONAL BANKSHARES
534;NATIONAL BEVERAGE
535;NBT BANCORP
536;NEKTAR THERAPEUTICS
537;NEOGEN
538;NEOMAGIC
539;NEONODE
540;NET 1 UEPS TECH
541;NETEASE INC.
542;NETFLIX
543;NETGEAR
544;NETSCOUT SYSTEMS INC
545;NETSOL TECHNOLOGIES
546;NETW. APPLIA
547;NEUROCRINE BIOSCIENCES
548;NEWTEK BUSINESS SERVICES
549;NEXSTAR MEDIA GROUP A
550;NICE ADR 1 SH
551;NN
552;NORDSON CORP
553;NORTECH SYSTEMS
554;NORTHERN TR
555;NORTHRIM BANCORP
556;NORTHWEST PIPE
557;NORWOOD FINANCIAL
558;NOVA MEASURING INSTRUMENTS
559;NOVANTA
560;NOVAVAX
561;NVE
562;NVIDIA
563;OCEANFIRST BK
564;ODYSSEY MARINE EXPLORATION
565;OHIO VY BANC CORP
566;OLD DOMNION FREIGHT
567;OLD POINT FINANCIAL
