id;name
231;CONSUMER PTFL SVCS
232;COPART
233;CORCEPT THERAPEUTICS
234;CORVEL
235;COSTAR GROUP
236;COSTCO INC
237;COVENANT TRANSPORT CLASS A
238;CRA INTERATIONAL
239;CRACKER BARREL OLD CTRY STORE
240;CREDIT ACCEPTANCE
241;CRESUD SACIF ADR
242;CROCS
243;CROSS COUNTRY HEALTHCARE
244;CROWN CRAFTS
245;CSG SYSTEMS INTL
246;CSP INC
247;CTI IND
248;CUTERA
249;CVB FINANCIAL
250;CYTOKINETICS
251;DAILY JOURNAL CO
252;DAKTRONICS
253;DASAN ZHONE SOLUTIONS
254;DASSAULT SYSTEMES ADR
255;DATA I/O CORP
256;DAWSON GEOPHYSICAL
257;DECKERS OUTDOOR
258;DENNY S
259;DENTSPLY INT
260;DESWELL INDUSTRIES
261;DEXCOM
262;DIAMOND HILL INVESTMT GP CL A
263;DIGI INTERNATIONAL
264;DIODES INC.
265;DIXIE GROUP
266;DLH HOLDINGS
267;DOLLAR TREE
268;DONEGAL GROUP A
269;DONEGAL GROUP INC
270;DORCHESTER MINERALS
271;DORMAN PRODUCTS
272;DRDGOLD ADR
273;DXP ENTERPRISES
274;DYNAMIC MATERIALS
275;DYNAVAX TECHNOLOGIES
276;EAGLE BANCORP
277;EAST-WEST BANCORP
278;EBAY
279;ECHOSTAR
280;EDAP TMS SA ADR
281;EDUCAT DEV CORP
282;EHEALTH
283;ELBIT SYSTEMS
284;ELEC. ARTS
285;ELECTRO SENSORS
286;ELTEK
287;ENCORE CAPITAL GROUP
288;ENSIGN GROUP
289;ENSTAR GROUP
290;ENTERPRISE BANCORP
291;ENTERPRISE FINL SVC
292;EQUINIX
293;ERIE INDEMNITY-A
294;ESCALADE
295;ESSA BANCORP
296;EURO TECH HLDGS
297;EURONET WORLDWIDE
298;EXACT SCIENCES
299;EXELIXIS
300;EXLSERVICE HOLDINGS
301;EXPEDIA INC
302;EXPONENT
303;EXTREME NETWORKS INC
304;EZCORP -A- NVTG
305;FACEBOOK CLASS A
306;FANHUA INC
307;FARMER BROTHERS CO
308;FARO TECHNOLOGIES
309;FASTENAL CO.
310;FIFTH THIRD
311;FINANCIAL INSTITUTIONS INC
312;FIRST BANCORP
313;FIRST BANCORP
314;FIRST BUSEY
315;FIRST CAPITAL
316;FIRST CITIZENS BC NRTH CAROL A
317;FIRST COMMUNITY
318;FIRST COMMUNITY BANKSHARES
319;FIRST DEFIANCE FINANCIAL
320;FIRST FINANCIAL NORTHWEST
321;FIRST FINL BANCORP
322;FIRST FINL BANKSHS
323;FIRST MERCHANTS
324;FIRST SOLAR
325;FIRST UNITED
326;FIRST US BANCSHARES
327;FLEXSTEEL IND INC
328;FLEXTRONICS
329;FLUSHING FINL
330;FONAR
331;FORMFACTOR
332;FORMULA SYST ADR
333;FORRESTER RESEARCH
334;FORWARD AIR
335;FOSSIL
336;FRANKLIN ELECTRIC CO
337;FREIGHTCAR AMERICA
338;FREQUENCY ELECTRONICS
339;FRP HOLDINGS
340;FRST OF LONG ISLAND
341;FUEL TECH
342;FUELCELL ENERGY
343;FULTON FINANCIAL
344;F5 NETWORKS INC
345;GAIA CLASS A
346;GENTEX CORP
347;GENTHERM
348;GEOSPACE TECHNOLOGIES
349;GERMAN AMERICAN BANCORP
350;GERON
351;GIBRALTAR INDUSTRIES
352;GIGAMEDIA
